"A.U.D.I." "ACURA" "ALFA ROMEO" "ASTON MARTIN" "AUSTIN" "B.M.W." "BENTLEY" "BUICK" "CADILLAC" "CITROEN" "CHEVROLET" "CHRYSLER" "DAEWOO" "DAIHATSU" "DAIMLER" "DAIMLERCHRYSLER" "DIAMOND" "DODGE" "FERRARI" "FIAT" "FORD" "G.M.C." "HISPANO SUIZA" "HONDA" "HUMMER" "HYUNDAI" "ISUZU" "IVECO" "JAGUAR" "JEEP" "KIA" "LADA" "LADA-VAZ" "LAMBORGHINI" "LANCIA" "LAND ROVER" "LEXUS" "LINCOLN" "LONDON TAXIS INTERNAT." "LOTUS" "M.G." "MASERATI" "MATRA" "MAZDA" "MERCEDES-BENZ" "MERCURY" "MICRO COMPACT CAR" "MINI" "MITSUBISHI" "MORGAN" "NISSAN" "OLDSMOBILE" "OPEL" "PACKARD" "PEUGEOT" "PLYMOUTH" "PONTIAC" "PORSCHE" "QUATTRO" "RENAULT" "ROLLS-ROYCE" "ROVER" "SAAB" "SANTANA" "SATURN" "SEAT" "SIMCA" "SKODA" "SSANGYONG" "SUBARU" "SUZUKI" "TATA" "TOYOTA" "TRIUMPH" "VAUXHALL" "VOLKSWAGEN" "VOLVO" "SIN MARCA" "OTRAS MARCAS"
"Sta.C. Tenerife" 460 0 66 0 1 1127 0 0 3 2677 7 26 365 44 0 1 0 0 1 740 1911 0 0 251 0 984 0 0 44 3 18 0 0 1 31 98 8 1 0 2 91 2 0 219 1080 0 88 38 253 1 820 0 2369 0 2132 0 4 36 0 3506 1 51 50 0 0 3112 0 311 0 9 37 0 2355 1 0 2364 68 2 2
"Cantabria" 656 0 147 0 3 451 0 0 0 2259 1 30 616 0 0 0 0 0 2 347 1197 0 0 203 0 359 0 0 56 2 141 4 0 0 44 32 21 0 0 0 33 0 0 128 572 0 40 16 46 0 436 0 1347 0 1778 0 2 11 0 2202 1 118 73 0 0 1940 0 101 0 30 25 1 379 1 0 1216 102 0 0
"Segovia" 169 0 16 0 0 110 0 1 0 437 0 13 13 1 0 0 0 0 0 103 368 0 0 29 0 76 0 0 20 4 76 0 0 0 8 20 3 0 0 0 12 0 0 16 152 0 3 2 43 0 34 0 279 0 501 0 0 0 0 459 0 22 1 0 0 400 0 20 0 2 35 1 164 1 0 336 34 0 1
"Sevilla" 1713 1 328 1 2 1692 1 0 2 6194 11 75 2388 3 3 5 0 3 3 1249 5607 0 0 475 1 1681 2 0 121 89 1229 1 0 0 89 134 35 1 0 0 66 1 0 266 1828 1 90 29 535 0 1652 1 4336 0 5403 0 4 34 0 6649 5 362 106 0 1 5819 0 1422 37 42 750 17 2156 0 0 3794 566 0 0
"Soria" 87 0 31 0 0 67 0 0 0 229 0 5 29 0 0 0 0 0 0 69 267 0 0 4 0 26 0 0 1 0 27 0 0 0 0 2 1 0 0 0 1 1 0 10 59 0 0 3 9 0 47 0 203 0 167 0 0 2 0 275 0 3 0 0 0 202 0 2 0 0 6 0 47 0 0 110 31 0 0
"Tarragona" 1007 0 234 0 1 960 0 0 0 2729 2 38 729 2 31 21 0 1 3 689 2236 0 0 334 0 689 0 0 60 4 297 2 0 0 65 69 17 0 0 0 63 0 0 305 865 0 49 45 122 0 793 0 2015 0 2600 1 2 17 0 2753 2 135 61 0 0 1877 0 192 6 20 102 8 865 0 2 1723 234 1 1
"Teruel" 116 0 20 0 0 86 0 0 0 551 0 4 45 0 1 0 0 0 0 196 278 0 0 24 0 55 0 0 9 0 41 0 0 0 1 3 1 0 0 0 10 0 0 7 112 0 0 0 31 0 77 0 429 0 618 0 0 2 0 510 0 16 4 0 0 499 0 21 0 0 7 0 91 0 0 195 9 0 0
"Toledo" 589 0 132 0 0 708 1 0 0 2227 0 44 420 1 2 6 0 0 1 433 1463 0 0 105 1 470 1 0 68 6 328 1 0 0 10 27 6 0 0 0 35 0 1 140 716 0 43 14 61 0 304 0 1324 0 4110 0 0 7 0 1708 0 111 35 0 0 1499 0 199 5 7 43 3 415 0 0 1121 97 0 1
"Valencia" 2870 0 979 3 1 3392 1 0 11 9346 6 150 1404 13 4 11 0 2 2 1627 12317 1 0 979 1 1885 1 0 267 9 1689 0 0 0 141 193 40 2 0 0 121 2 0 926 3316 0 248 95 256 0 2002 0 6397 0 8501 0 3 56 0 7352 3 423 222 0 0 6975 1 714 3 23 256 62 1722 0 1 4972 847 6 2
"Valladolid" 529 0 116 0 0 714 0 0 0 1472 0 27 231 0 0 0 0 0 1 319 1011 0 0 151 0 336 0 1 70 1 187 0 0 0 35 17 2 0 0 0 26 3 0 126 592 0 21 2 47 0 226 0 841 0 1245 0 1 6 0 5410 0 117 53 0 0 1228 0 155 0 3 15 14 378 0 0 818 133 0 0
"Vizcaya" 1344 0 211 0 2 1102 0 0 2 3137 1 43 351 1 4 1 0 0 0 538 2553 0 0 545 0 665 0 0 103 4 366 7 1 0 20 59 49 0 0 0 64 0 0 332 911 0 40 23 83 1 693 0 3114 1 3051 0 1 19 0 4249 4 188 116 0 0 2995 0 288 0 23 45 1 775 2 0 2886 362 0 0
"Zamora" 217 0 41 0 0 245 0 0 0 475 0 2 94 1 0 0 0 0 0 101 426 0 0 13 0 124 0 0 10 0 95 0 0 0 14 3 0 0 0 0 6 0 0 5 188 0 1 0 19 0 65 0 341 0 414 0 0 1 0 579 0 8 7 0 0 485 0 8 1 0 12 2 105 0 0 286 91 0 0
"Zaragoza" 884 0 148 0 0 906 0 0 0 2231 2 62 377 6 1 2 0 0 2 562 1844 0 0 255 0 670 0 0 87 0 339 1 0 0 60 39 13 0 0 0 52 0 0 233 960 1 59 29 85 0 662 0 4369 0 1821 1 1 13 0 2943 0 160 219 0 0 1830 0 307 2 39 54 9 717 0 1 1435 283 2 0
"Ceuta" 68 0 4 0 0 74 0 0 0 119 0 12 179 0 0 0 0 0 0 32 178 0 0 67 0 118 0 0 2 0 111 0 0 0 2 8 5 0 0 0 17 0 0 3 243 0 1 5 12 0 102 0 109 0 235 0 1 1 0 138 0 42 0 0 0 360 0 1 0 0 1 7 92 0 0 160 10 0 0
"Melilla" 82 0 10 0 0 74 0 0 0 117 0 4 61 4 0 1 0 0 0 22 102 0 0 11 0 399 0 0 1 0 153 0 0 0 0 2 0 0 0 0 5 0 0 3 409 0 3 0 11 0 98 0 91 0 215 0 0 1 0 110 0 10 0 0 0 77 0 0 0 4 3 2 46 0 0 150 1 0 0
